route,x,y,lat,long,season,type,hab
F-E,578580.9082786766,5569138.071179721,-40.024315,147.920902,winter,RK,FO
F-E,579672.8111722724,5568437.124019341,-40.030476,147.933833,winter,RK,FF
F-E,586097.6085743121,5561302.9250129,-40.094134,148.010046,winter,RK,OO
F-E,585856.8599677904,5561584.60988628,-40.091643,148.007178,winter,RK,FO
F-E,585626.3458684189,5561902.5408644155,-40.088795,148.004439,winter,RK,OO
F-E,585419.4274070829,5562084.615163363,-40.087143,148.002001,winter,RK,FO
F-E,585268.3231375687,5562174.524790321,-40.086347,148.000218,winter,RK,FO
F-E,584227.395027784,5562924.806498178,-40.079721,147.987899,winter,RK,OO
F-E,584189.8060325999,5562959.46242778,-40.079414,147.987452,winter,RK,OO
F-E,584100.9372069789,5563041.238678408,-40.078688,147.986397,winter,RK,OO
F-E,584039.5261559502,5563097.260944597,-40.078189,147.98567,winter,RK,OO
F-E,583819.986851823,5563297.419475133,-40.07641,147.983067,winter,RK,FO
F-E,583447.6973130994,5563636.312044748,-40.073392,147.97866,winter,RK,OO
F-E,581807.7808368823,5564914.938473128,-40.061991,147.959301,winter,RK,OO
F-E,581730.2300438748,5564967.159840876,-40.06154,147.958375,winter,RK,OO
F-E,581200.2521043044,5565518.000442467,-40.05668,147.952044,winter,RK,FF
F-E,581150.1623776678,5565611.530662908,-40.055833,147.951467,winter,RK,FF
F-E,580636.8352920881,5567304.915014669,-40.040612,147.945258,winter,RK,FO
F-E,580498.1417966713,5567476.857532462,-40.039077,147.94361,winter,RK,FO
F-E,580430.4039891242,5567559.446215358,-40.038333,147.942814,winter,RK,FO
F-E,579771.3941738631,5568360.326936784,-40.031181,147.934983,winter,RK,FF
F-E,579422.816204459,5568623.081231799,-40.028844,147.930862,winter,RK,FO
F-E,578374.229107228,5569458.566964347,-40.02145,147.918409,winter,RK,FF
F-E,578334.8782193186,5570503.0763961235,-40.012039,147.917851,winter,RK,FO
F-E,585418.0729327884,5562085.421145377,-40.087169,148.00196,winter,RK,FO
F-E,585385.4980751843,5562104.804864553,-40.08703,148.001551,spring,RK,FO
F-E,584931.2321802204,5562374.391246631,-40.084642,147.996192,spring,RK,FF
F-E,584751.5262003818,5562480.862480877,-40.083683,147.994084,spring,RK,FF
F-E,584502.9366920673,5562672.4622982275,-40.081989,147.991137,spring,RK,OO
F-E,584459.898035014,5562711.646068365,-40.081656,147.990609,spring,RK,OO
F-E,584296.3539058235,5562861.227975029,-40.080326,147.98867,spring,RK,OO
F-E,584154.9250443164,5562991.621447638,-40.079154,147.987008,spring,RK,OO
F-E,584119.1923804482,5563024.502770831,-40.078868,147.986577,spring,RK,OO
F-E,584086.817867081,5563054.144349024,-40.078603,147.986195,spring,RK,OO
F-E,583812.5225309028,5563304.225354753,-40.076362,147.982964,spring,RK,FO
F-E,583757.2229706673,5563354.639674078,-40.075928,147.982292,spring,RK,FO
F-E,583500.6144848906,5563588.274869737,-40.07384,147.979263,spring,RK,OO
F-E,583426.0886160138,5563655.930695954,-40.073227,147.978393,spring,RK,OO
F-E,583351.4741016977,5563723.6646423675,-40.072615,147.97752,spring,RK,FO
F-E,583295.4972773889,5563774.484916376,-40.0722,147.976814,spring,RK,FO
F-E,583242.6700443756,5563822.447861687,-40.071751,147.976214,spring,RK,FO
F-E,583199.9095922482,5563861.385638929,-40.071411,147.9757,spring,RK,FO
F-E,581818.0926907943,5564907.995308885,-40.062092,147.959389,spring,RK,OO
F-E,581709.9628027745,5564980.805676163,-40.061435,147.958122,spring,RK,OO
F-E,581535.6389682216,5565098.187228098,-40.060409,147.956051,spring,RK,OO
F-E,581135.5237891001,5565638.867275759,-40.055597,147.951271,spring,RK,FF
F-E,581079.8874467062,5565785.312111508,-40.05428,147.95061,spring,RK,FF
F-E,581040.8691175625,5566510.775657074,-40.047742,147.950088,spring,RK,OO
F-E,581012.678465019,5566593.839338967,-40.047014,147.949682,spring,RK,FO
F-E,580988.3292983603,5566658.256519077,-40.046435,147.949392,spring,RK,FO
F-E,580907.4209670759,5566862.135976256,-40.044595,147.948455,spring,RK,FO
F-E,580894.0964096808,5566892.910749283,-40.044326,147.948275,spring,RK,FO
F-E,580552.5468669515,5567409.409390386,-40.039713,147.944203,spring,RK,FO
F-E,580509.2735650397,5567463.055259352,-40.039246,147.94367,spring,RK,FO
F-E,580492.7186814538,5567483.5816498585,-40.039049,147.943495,spring,RK,FO
F-E,580447.0795409024,5567539.758547777,-40.038518,147.942998,spring,RK,FO
F-E,580405.7716704916,5567587.779219365,-40.038092,147.942503,spring,RK,FO
F-E,580027.845788763,5568025.553676847,-40.034198,147.938,spring,RK,FF
F-E,579971.0079371257,5568096.209300164,-40.033567,147.937325,spring,RK,FF
F-E,579746.5638992109,5568382.2690630695,-40.031015,147.934655,spring,RK,FF
F-E,578696.4977489372,5568972.995715689,-40.025814,147.92225,spring,RK,FF
F-E,578365.1424372814,5569662.258206418,-40.019606,147.918266,spring,RK,FF
F-E,578336.2878659485,5570519.25755907,-40.01189,147.917807,spring,RK,FO
F-E,585513.833456151,5562023.810245629,-40.087677,148.003134,spring,RK,FO
F-E,584154.6235918279,5562991.899367747,-40.079134,147.987025,spring,RK,OO
F-E,579977.7841996436,5568087.785730983,-40.03364,147.937409,spring,RK,FF
F-E,584635.3244472032,5562555.573085692,-40.083058,147.992677,summer,RK,OO
F-E,583771.413653574,5563341.702731067,-40.076032,147.982473,summer,RK,FO
F-E,583718.9194204253,5563389.5634916425,-40.075608,147.981849,summer,RK,FO
F-E,583705.0512323976,5563402.208214567,-40.075503,147.981676,summer,RK,FO
F-E,583677.9735754114,5563426.894859248,-40.075287,147.981351,summer,RK,FO
F-E,583661.1883755297,5563442.195542837,-40.075151,147.981152,summer,RK,FO
F-E,583437.2296920973,5563645.815671892,-40.073336,147.978503,summer,RK,OO
F-E,583398.4331794251,5563681.038899569,-40.073023,147.978043,summer,RK,FO
F-E,583336.7021851911,5563737.076035691,-40.072513,147.977325,summer,RK,FO
F-E,583246.9699680972,5563818.541238782,-40.071803,147.976245,summer,RK,FO
F-E,583040.7938108398,5564006.537462334,-40.07013,147.973803,summer,RK,OO
F-E,583009.7418137362,5564034.863791722,-40.069885,147.973427,summer,RK,OO
F-E,582993.0440613023,5564050.097806401,-40.069735,147.973246,summer,RK,OO
F-E,582752.911668351,5564268.692588306,-40.067774,147.97042,summer,RK,OO
F-E,582331.3050690236,5564562.212876155,-40.065171,147.965438,summer,RK,OO
F-E,581047.7322738924,5566429.708063138,-40.048478,147.950169,summer,RK,OO
F-E,581026.3952363821,5566557.53837667,-40.047332,147.949873,summer,RK,OO
F-E,580660.2768903241,5567275.849717726,-40.040894,147.945501,summer,RK,FO
F-E,580635.1008028816,5567307.06514683,-40.040626,147.945185,summer,RK,FO
F-E,580518.2733200553,5567451.89688246,-40.039312,147.94383,summer,RK,FO
F-E,580493.1778075568,5567483.012379671,-40.039036,147.943529,summer,RK,FO
F-E,580294.443229138,5567713.987455329,-40.036991,147.941146,summer,RK,FF
F-E,579990.1965088599,5568072.355994444,-40.033773,147.937564,summer,RK,FF
F-E,579861.0147666837,5568243.568533545,-40.032239,147.936037,summer,RK,FF
F-E,579756.3619200665,5568374.3584612785,-40.031062,147.934798,summer,RK,FF
F-E,579432.2153142809,5568616.090170228,-40.028923,147.930957,summer,RK,FO
F-E,579395.5613548629,5568643.353356084,-40.0287,147.930506,summer,RK,FO
F-E,579299.5204624035,5568698.139262103,-40.028172,147.9294,summer,RK,FF
F-E,579236.6637029538,5568725.238720373,-40.027956,147.928648,summer,RK,FF
F-E,578823.4882221685,5568901.828885438,-40.026422,147.923775,summer,RK,FF
F-E,578706.098240406,5568963.725507824,-40.025902,147.922357,summer,RK,FF
F-E,578562.1334722509,5569171.510138821,-40.024023,147.920658,summer,RK,FO
F-E,578415.5678145146,5569383.318825203,-40.022078,147.918988,summer,RK,FF
F-E,578335.9471449486,5570515.118737043,-40.01193,147.917852,summer,RK,FO
F-E,585656.8575932869,5561862.4090185575,-40.089132,148.004838,summer,RK,OO
F-E,584190.8504677495,5562958.499478956,-40.079428,147.987458,summer,RK,OO
F-E,582320.8415591184,5564569.373612661,-40.065085,147.965334,summer,RK,OO
F-E,581344.2533514018,5565252.522484386,-40.059069,147.953743,summer,RK,FO
F-E,585858.0786497467,5561581.998657839,-40.091839,148.006725,winter,FR,FO
F-E,586402.0535925322,5561113.632130923,-40.095802,148.013647,winter,FR,OO
F-E,585854.3735434782,5561589.937463215,-40.091599,148.007138,winter,FR,FO
F-E,579645.0539173383,5568457.770931137,-40.030315,147.933484,winter,FR,FF
F-E,578607.917229446,5569093.48528004,-40.024734,147.921183,winter,FR,FO
F-E,578412.1231208799,5569386.559977974,-40.022056,147.918939,winter,FR,FF
F-E,578580.9082786766,5569138.071179721,-40.024315,147.920902,winter,FR,FO
F-E,579393.4718780553,5568644.907506416,-40.028639,147.930526,winter,FR,FO
F-E,579672.8111722724,5568437.124019341,-40.030476,147.933833,winter,FR,FF
F-E,580483.7541591272,5567494.696786733,-40.038907,147.943456,winter,FR,FO
