route,x,y,lat,long,habitat
F-E,587225.0248795883,5560414.476170595,-40.10204865,148.0233682,OO
F-E,587187.254049721,5560447.237882363,-40.10175744,148.0229207,OO
F-E,587149.4829059145,5560480.000508982,-40.10146622,148.0224732,OO
F-E,587111.7114353958,5560512.762940501,-40.101175,148.0220257,OO
F-E,587073.9396254204,5560545.524066969,-40.10088379,148.0215782,OO
F-E,587036.1675014927,5560578.286108292,-40.10059257,148.0211307,OO
F-E,586998.3950636048,5560611.049064468,-40.10030134,148.0206832,OO
F-E,586960.6222862721,5560643.810715598,-40.10001012,148.0202357,OO
F-E,586922.8577060157,5560676.572073904,-40.0997189,148.0197883,OO
F-E,586885.0842880514,5560709.334444838,-40.09942767,148.0193408,OO
F-E,586847.3105433803,5560742.09662068,-40.09913644,148.0188933,OO
F-E,586809.544995893,5560774.858503829,-40.09884521,148.0184459,OO
F-E,586771.7705978656,5560807.620289532,-40.09855398,148.0179984,OO
F-E,586733.9958858397,5560840.382990093,-40.09826274,148.0175509,OO
F-E,586696.2293584062,5560873.144288143,-40.09797151,148.0171035,OO
F-E,586658.4539930212,5560905.906598571,-40.09768027,148.016656,OO
F-E,586620.6868249986,5560938.668616525,-40.09738903,148.0162086,OO
F-E,586582.9193303515,5560971.430439478,-40.09709779,148.0157612,OO
F-E,586545.0911686504,5561004.133921138,-40.09680708,148.0153131,OO
F-E,586506.8564215929,5561036.348960132,-40.09652081,148.0148603,OO
F-E,586468.6213623693,5561068.564909481,-40.09623453,148.0144075,OO
F-E,586427.9956221507,5561097.503154656,-40.09597802,148.0139271,OO
F-E,586385.5332798033,5561123.903329277,-40.09574456,148.0134255,OO
F-E,586343.0791817568,5561150.304273201,-40.09551109,148.012924,OO
F-E,586300.6162668103,5561176.705070666,-40.09527762,148.0124224,OO
F-E,586258.1530592275,5561203.105624551,-40.09504415,148.0119208,OO
F-E,586215.6895590078,5561229.5059348615,-40.09481068,148.0114192,OO
F-E,586173.2257787695,5561255.907111547,-40.0945772,148.0109176,OO
F-E,586130.7702303268,5561282.307947828,-40.09434372,148.0104161,OO
F-E,586088.3058648336,5561308.708637414,-40.09411024,148.0099145,OO
F-E,586045.841206698,5561335.109083428,-40.09387676,148.0094129,OO
F-E,586003.38478045,5561361.509189186,-40.09364328,148.0089114,OO
F-E,585960.9195496526,5561387.910258055,-40.09340979,148.0084098,OO
F-E,585921.5287497314,5561418.556760131,-40.09313774,148.0079437,OO
F-E,585897.1624045973,5561460.709929679,-40.0927605,148.0076523,FF
F-E,585880.0023324321,5561507.58032933,-40.09234003,148.0074448,FF
F-E,585869.9508957145,5561556.560399589,-40.09189983,148.0073204,FO
F-E,585849.032870913,5561601.38074095,-40.09149821,148.0070691,FO
F-E,585822.9311206221,5561643.967342477,-40.09111724,148.0067573,OO
F-E,585792.6710171637,5561683.771265242,-40.09076176,148.0063971,OO
F-E,585762.4105788214,5561723.573949834,-40.09040629,148.0060369,OO
F-E,585732.1498181539,5561763.376506202,-40.09005082,148.0056767,OO
F-E,585701.8887477075,5561803.180044298,-40.08969534,148.0053165,OO
F-E,585671.6273423994,5561842.982344222,-40.08933987,148.0049563,OO
F-E,585641.3656273102,5561882.785625875,-40.08898439,148.0045961,OO
F-E,585611.1035899047,5561922.588779308,-40.08862891,148.0042359,FO
F-E,585580.8497553805,5561962.391708321,-40.08827343,148.0038758,FO
F-E,585545.75131954,5561997.541260296,-40.08796036,148.0034595,FO
F-E,585507.1442787857,5562029.315560943,-40.08767805,148.0030025,FO
F-E,585465.7120511262,5562057.0729953395,-40.08743221,148.0025129,FO
F-E,585422.7456870629,5562082.640615751,-40.08720625,148.0020056,FO
F-E,585379.7790367274,5562108.207987193,-40.08698029,148.0014983,FO
F-E,585336.8121001127,5562133.775109663,-40.08675433,148.000991,FO
F-E,585293.8363642963,5562159.343188986,-40.08652836,148.0004836,FO
F-E,585250.8688675779,5562184.9109234195,-40.08630239,147.9999763,FO
F-E,585207.9009972967,5562210.47063925,-40.08607649,147.999469,FF
F-E,585164.8808653103,5562235.957423917,-40.08585125,147.9989611,FF
F-E,585121.8689731625,5562261.443863365,-40.08562601,147.9984533,FF
F-E,585078.8482698429,5562286.930149,-40.08540077,147.9979454,FF
F-E,585035.8272932887,5562312.417295046,-40.08517552,147.9974375,FF
F-E,584992.814556653,5562337.904096024,-40.08495027,147.9969297,FF
F-E,584949.8015343831,5562363.390647563,-40.08472502,147.9964219,FF
F-E,584906.7797008213,5562388.8770451,-40.08449977,147.995914,FF
F-E,584863.7661072642,5562414.363097716,-40.08427452,147.9954062,FF
F-E,584820.7522404938,5562439.850010847,-40.08404926,147.9948984,FF
F-E,584777.7295623352,5562465.336769828,-40.083824,147.9943905,FF
F-E,584734.7151242594,5562490.823184041,-40.08359874,147.9938827,FF
F-E,584691.7004005482,5562516.309348822,-40.08337348,147.9933749,FO
